,lat,lon,carpark_number,lat_rad,long_rad,day,hour,total_lots,Region
295674,1.377687482,103.7551588,TW1,0.0240451826244101,1.8108691369895689,20,0,108,West
295675,1.324217071,103.9418568,B17,0.0231119479000655,1.8141276317964568,20,0,385,East
295676,1.332451125,103.9308208,B42,0.0232556592531525,1.8139350172602071,20,0,123,East
295677,1.32588083,103.9282759,B8,0.0231409859725752,1.813890600376073,20,0,113,East
295678,1.329942168,103.9387531,B30,0.0232118696927115,1.814073462012463,20,0,353,East
295679,1.397401568,103.7451674,CK48,0.0243892583341314,1.810694754162685,20,0,287,West
295680,1.393084686,103.7447907,CK38,0.0243139145298113,1.8106881795073928,20,0,344,West
295681,1.395265644,103.7495318,CK46,0.024351979427759,1.810770927312559,20,0,673,West
295682,1.374354886,103.8364785,A81,0.0239870178515713,1.8122884335013028,20,0,118,Central
295683,1.375674256,103.8363983,A82,0.0240100452021233,1.8122870337472428,20,0,201,Central
295684,1.368073703,103.8443919,A9,0.023877390527301,1.8124265483863304,20,0,146,Central
295685,1.385890549,103.7589495,BJ56,0.0241883531523218,1.810935297185524,20,0,554,West
295686,1.400427917,103.7437461,CK50,0.0244420780884958,1.8106699477980264,20,0,374,West
295687,1.382072378,103.7406907,CK17,0.0241217134969676,1.810616621008061,20,0,185,West
295688,1.378749566,103.7449381,CK31,0.0240637194871428,1.8106907521227105,20,0,290,West
295689,1.383382298,103.7401333,CK20,0.0241445759139053,1.8106068925428105,20,0,931,West
295690,1.384143685,103.7415065,CK23,0.0241578646239372,1.8106308594040987,20,0,232,West
295691,1.388697019,103.742951,CK33,0.0242373352941802,1.810656070685144,20,0,235,West
295692,1.380619974,103.8401069,A70,0.0240963642650985,1.812351761027882,20,0,134,Central
295693,1.37098908,103.8424186,A30,0.0239282734548879,1.812392107804201,20,0,12,Central
295694,1.370646324,103.8418612,AM80,0.0239222912341569,1.81238237933895,20,0,191,Central
295695,1.371638575,103.8419475,AM81,0.0239396092811131,1.8123838855580945,20,0,222,Central
295696,1.334250822,103.9151769,B53,0.0232870698913407,1.8136619796973543,20,0,197,East
295697,1.329057431,103.9351759,B35,0.0231964281190473,1.8140110280944608,20,0,197,East
295698,1.436261389,103.8378555,Y20,0.025067490157317,1.812312466685103,20,0,60,North
295699,1.385140684,103.8938879,SK72,0.0241752655391263,1.813290416552897,20,0,200,North
295700,1.386111231,103.8942443,SK73,0.0241922047798216,1.8132966369063512,20,0,208,North
295701,1.389444053,103.8782117,SK58,0.0242503734971045,1.813016815248696,20,0,1164,North
295702,1.378605258,103.7500621,CK3,0.0240612008374058,1.8107801827935823,20,0,282,West
295703,1.365539346,103.8446191,AM18,0.02383315765323,1.8124305137743908,20,0,451,Central
295704,1.374463829,103.8559131,A60,0.0239889192656183,1.8126276312601108,20,0,517,Central
295705,1.382289332,103.7437435,CK25,0.024125500058593,1.8106699024194657,20,0,183,West
295706,1.364073483,103.85094,AM96,0.0238075735174968,1.81254083429108,20,0,525,Central
295707,1.365106711,103.849709,A85,0.0238256067480206,1.812519349287988,20,0,93,Central
295708,1.284625623,103.8231289,BMVM,0.0224209467768333,1.8120554390274783,20,0,361,South
295709,1.277605024,103.819343,TB2,0.0222984142088211,1.811989362607328,20,0,51,South
295710,1.312612972,103.7869254,GM1A,0.0229094181657881,1.8114235687517328,20,0,414,South
295711,1.307283696,103.7834393,AR9,0.0228164047528406,1.811362724828679,20,0,64,South
295712,1.333069882,103.9176013,B75,0.0232664586000722,1.81370429345974,20,0,329,East
295713,1.346548889,103.7144235,BL18,0.0235017116521216,1.810158171882781,20,0,401,West
295714,1.281855785,103.8292431,KTM6,0.0223726039839865,1.812162151948604,20,0,252,South
295715,1.347724016,103.6964782,J84M,0.0235222214874007,1.809844967312523,20,0,285,West
295716,1.306780321,103.7966729,Q84,0.0228076192017183,1.811593694720571,20,0,207,South
295717,1.30887827,103.7962381,Q87,0.0228442353193073,1.8115861060289835,20,0,430,South
295718,1.278442984,103.8185737,TB1,0.0223130393698211,1.811975935789392,20,0,58,South
295719,1.339686731,103.6936403,J69,0.0233819444012295,1.8097954366136808,20,0,222,West
295720,1.351973025,103.7028208,JM19,0.0235963806843976,1.80995566656566,20,0,1176,West
295721,1.342012441,103.697582,JM31,0.0234225356981761,1.8098642322568064,20,0,188,West
295722,1.348776614,103.7133453,BL19,0.0235405927882006,1.810139353742786,20,0,369,West
295723,1.346226981,103.6941741,J71,0.0234960932976331,1.809804753181228,20,0,450,West
295724,1.344303746,103.6945288,J76M,0.0234625265145935,1.8098109438640848,20,0,415,West
295725,1.342374678,103.7059005,J89M,0.0234288579264986,1.8100094174706336,20,0,591,West
295726,1.33947028,103.6997446,JM13,0.0233781666186103,1.8099019767472104,20,0,1061,West
295727,1.337004397,103.6945042,JM29,0.0233351288412913,1.8098105145130885,20,0,641,West
295728,1.425774795,103.8299542,Y11,0.0248844645646971,1.812174562984915,20,0,678,North
295729,1.434710756,103.8288862,Y3,0.0250404265059769,1.812155922868504,20,0,403,North
295730,1.434647487,103.836814,Y15,0.0250393222536125,1.812294289080944,20,0,335,North
295731,1.434750939,103.8315095,Y4,0.0250411278316303,1.812201708090771,20,0,807,North
295732,1.414209043,103.8336232,Y27,0.024682604111828,1.8122385991151708,20,0,286,North
295733,1.42222904,103.8361095,Y33,0.0248225794654781,1.812281993236363,20,0,101,North
295734,1.436901337,103.8371548,Y21,0.0250786593569586,1.812300237163034,20,0,77,North
295735,1.394772586,103.9024278,SK19,0.0243433739422557,1.8134394659256885,20,0,609,East
295736,1.388402514,103.8994632,SK11,0.0242321952122666,1.813387723894684,20,0,362,North
295737,1.39028274,103.9001138,SK2,0.0242650113466482,1.813399079006797,20,0,360,North
295738,1.392820724,103.8987065,SK17,0.0243093075238112,1.8133745169882336,20,0,677,North
295739,1.387223782,103.9052151,SK22,0.024211622457868,1.8134881134879293,20,0,507,East
295740,1.388173443,103.9007433,SK13,0.0242281971690958,1.8134100658544383,20,0,355,North
295741,1.397226495,103.9056226,P4,0.02438620273385,1.813495225704631,20,0,411,East
295742,1.394861852,103.9125846,PL15,0.0243449319278658,1.8136167355271549,20,0,277,East
295743,1.394353278,103.9140935,PL30,0.0243360556370758,1.8136430708002385,20,0,204,East
295744,1.403677917,103.9061977,PL31,0.0244988012891856,1.81350526309316,20,0,222,East
295745,1.403720397,103.89915,PL40,0.0244995427050519,1.8133822575234664,20,0,243,East
295746,1.392920304,103.8979555,SK25,0.0243110455226803,1.813361409565552,20,0,409,North
295747,1.345004032,103.8530226,BE7,0.0234747488109991,1.812577182518082,20,0,119,Central
295748,1.292482345,103.8144003,CLM,0.0225580724441472,1.811903096218389,20,0,245,South
295749,1.28904007,103.8088476,BM14,0.0224979934116381,1.8118061833210133,20,0,94,South
295750,1.285246629,103.8187599,BM20,0.022431785376208,1.811979185592459,20,0,60,South
295751,1.289532724,103.8137642,BM6,0.0225065918460113,1.811891994179017,20,0,30,South
295752,1.283492136,103.8233753,BVM2,0.0224011636966548,1.812059739518756,20,0,504,South
295753,1.281934226,103.8270172,JMB1,0.022373973037705,1.812123302664784,20,0,492,South
295754,1.332194012,103.8660598,PP9T,0.0232511717847528,1.812804724583323,20,0,131,Central
295755,1.28791511,103.8172729,RHM3,0.0224783591556849,1.811953232546482,20,0,646,South
295756,1.3789729,103.8885081,HG70,0.0240676174007745,1.8131965213297985,20,0,348,North
295757,1.37677498,103.8832656,HG78,0.024029256460079,1.8131050224437624,20,0,490,North
295758,1.376047405,103.880491,HG79,0.0240165578807738,1.813056596538337,20,0,401,North
295759,1.381560336,103.8806475,HG94,0.0241127766781591,1.813059327978616,20,0,896,North
295760,1.337508204,103.9259607,B59,0.0233439219322359,1.8138501925132309,20,0,386,East
295761,1.336155123,103.9235077,B97,0.0233203062137398,1.81380737958668,20,0,553,East
295762,1.392505558,103.8763337,SK69,0.0243038068394208,1.812984037965344,20,0,264,North
295763,1.331686528,103.8567139,TP40,0.0232423145180516,1.8126416078567609,20,0,360,Central
295764,1.331968828,103.8582435,TP41,0.02324724158253,1.812668304413,20,0,134,Central
295765,1.342441399,103.8555521,TP53,0.0234300224276289,1.812621330621511,20,0,323,Central
295766,1.341761788,103.8490324,TP63,0.0234181609780461,1.8125075403902688,20,0,114,Central
295767,1.339803235,103.8487648,TP7,0.0233839777796213,1.8125028698891903,20,0,187,Central
295768,1.336502993,103.8511332,TPMA,0.0233263776906087,1.812544206267195,20,0,505,Central
295769,1.330207408,103.8449109,TPMD,0.0232164990040195,1.812435606645148,20,0,145,Central
295770,1.338445467,103.8498465,TPME,0.0233602802575431,1.8125217491157093,20,0,172,Central
295771,1.393713717,103.9067574,SK24,0.0243248931918584,1.8135150317009827,20,0,775,East
295774,1.398608191,103.909368,PL16,0.0244103178783117,1.8135605952664355,20,0,153,East
295775,1.399684106,103.9101036,PL19,0.0244290961375333,1.8135734339084129,20,0,291,East
295776,1.404598564,103.9086336,PL38,0.0245148696105842,1.8135477775684088,20,0,399,East
295777,1.401418623,103.8994379,PL50,0.0244593691701151,1.8133872823263828,20,0,192,East
295778,1.379252114,103.7513713,CK2,0.0240724906043921,1.810803032644149,20,0,464,West
295779,1.376201511,103.8386842,A75,0.0240192475378709,1.812326930228614,20,0,354,Central
295780,1.272405723,103.8232071,TB10,0.0222076692875689,1.8120568038749536,20,0,213,South
295781,1.340048835,103.7201826,TJ32,0.0233882643082642,1.8102586871397328,20,0,543,West
295782,1.435746701,103.8395115,Y18,0.0250585071570965,1.812341369337516,20,0,247,North
295783,1.394561034,103.8948299,S30L,0.0243396816633165,1.813306857554451,20,0,21,North
295784,1.393719175,103.895841,SK30,0.024324988451929,1.813324504578518,20,0,428,North
295785,1.338868934,103.8557423,TP49,0.0233676711509666,1.8126246502377483,20,0,296,Central
295786,1.338877766,103.8544307,TP50,0.0233678252984461,1.8126017584992795,20,0,296,Central
295787,1.403861614,103.9079821,PL34,0.0245020074066617,1.813536406748332,20,0,277,East
295788,1.402241205,103.9076222,P35L,0.0244737259343827,1.813530125308354,20,0,10,East
295789,1.372433693,103.845915,A54,0.023953486708155,1.812453131496168,20,0,743,Central
295790,1.330895249,103.9222475,B47,0.0232285040941997,1.813785384947446,20,0,234,East
295791,1.375529241,103.8824555,HG2B,0.0240075142129085,1.8130908835314925,20,0,323,North
295792,1.393274183,103.8925609,SK50,0.024317221876384,1.8132672560337235,20,0,472,North
295793,1.325159344,103.854558,BR8,0.0231283936663681,1.812603980303417,20,0,127,Central
295794,1.378303788,103.8835511,HG73,0.0240559391933099,1.8131100053587768,20,0,1052,North
295795,1.401713732,103.9030955,PL43,0.0244645197938174,1.813451119489104,20,0,417,East
295796,1.409761781,103.8997225,PL65,0.0246049847472292,1.813392249533434,20,0,466,East
295797,1.323307187,103.8631033,SG4,0.0230960674284543,1.812753123923988,20,0,146,Central
295798,1.430248246,103.8444466,Y62M,0.0249625410135738,1.812427503081431,20,0,240,North
295799,1.305523154,103.7987535,Q65,0.0227856774983209,1.811630008040988,20,0,95,South
295800,1.370917026,103.8552302,A45,0.0239270158753487,1.8126157124066489,20,0,397,Central
